"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-07-30","28","5","2026-08-13T17:15:33Z"
"2026-07-31","5","4","2026-08-13T17:15:33Z"
"2026-08-01","3","3","2026-08-13T17:15:33Z"
"2026-08-02","23","11","2026-08-13T17:15:33Z"
"2026-08-03","5","4","2026-08-13T17:15:33Z"
"2026-08-04","16","8","2026-08-13T17:15:33Z"
"2026-08-05","14","4","2026-08-13T17:15:33Z"
"2026-08-06","8","6","2026-08-13T17:15:33Z"
"2026-08-07","13","7","2026-08-13T17:15:33Z"
"2026-08-08","10","4","2026-08-13T17:15:33Z"
"2026-08-09","11","5","2026-08-13T17:15:33Z"
"2026-08-10","15","7","2026-08-13T17:15:33Z"
"2026-08-11","89","32","2026-08-13T17:15:33Z"
"2026-08-12","61","20","2026-08-13T17:15:33Z"
