"day_utc","views","unique_visitors","last_seen_snapshot_utc"
"2026-08-04","16","8","2026-08-18T16:51:11Z"
"2026-08-05","14","4","2026-08-18T16:51:11Z"
"2026-08-06","8","6","2026-08-18T16:51:11Z"
"2026-08-07","13","7","2026-08-18T16:51:11Z"
"2026-08-08","10","4","2026-08-18T16:51:11Z"
"2026-08-09","11","5","2026-08-18T16:51:11Z"
"2026-08-10","15","7","2026-08-18T16:51:11Z"
"2026-08-11","89","32","2026-08-18T16:51:11Z"
"2026-08-12","61","20","2026-08-18T16:51:11Z"
"2026-08-13","15","8","2026-08-18T16:51:11Z"
"2026-08-14","25","8","2026-08-18T16:51:11Z"
"2026-08-15","23","9","2026-08-18T16:51:11Z"
"2026-08-16","10","3","2026-08-18T16:51:11Z"
"2026-08-17","33","10","2026-08-18T16:51:11Z"
